TIENDA,SHOPIFY_ID,NOMBRE,PRECIO,TALLAS,IMAGEN_URL,ACTIVO,STOCK
MANDARINA,8128600408157,Hoodie Chaozu Dragon Ball Z Bordado Premium,30.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/Capturadepantalla2026-05-02145400.png?v=1777751875,TRUE,10
MANDARINA,8129553793117,Chaqueta de Ben 10 Roja,35.00,"XL, L, M, S, XS",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/Firefly_Red_and_black_varsity_jacket_product_photo_floating_mid-air__dark_cinematic_backgro_390049.png?v=1778632463,TRUE,10
MANDARINA,8143438119005,Hoodie Spiderman Brand New Day Streetwear Premium,40.00,"XS, S, L, XL, 2XL, 3XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/SPIDERMANH-01.png?v=1780032857,TRUE,10
MANDARINA,8143988523101,Chaqueta Naruto Uzumaki Konoha Symbol,35.00,"S, M, L, XL, XXL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/rn-image_picker_lib_temp_f697477a-b5bd-494c-97f7-1539fd3b3dac.png?v=1780154196,TRUE,10
MANDARINA,8151762206813,Chompa Futbol TRI Retro Edition,40.00,"XS, S, M, L, XL, 2XL, 3XL",https://cdn.shopify.com/s/files/1/0689/5832/2781/files/WhatsAppImage2026-06-10at12.33.09_1.jpg?v=1781152451,TRUE,10
INDSTORE,7160502288517,Hoodie de Lilo y Stitch,26.99,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsAppImage2025-06-03at20.47.13_2.jpg?v=1749352397,TRUE,10
INDSTORE,7161545523333,Hoodie Personalizado Foto de tu Perrito,29.99,Default Title,https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsAppImage2025-06-09at16.21.50_2.jpg?v=1749558987,TRUE,10
INDSTORE,7174678544517,Buzo Snoopy The Beagles Edicion Limitada,30.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsApp_Image_2025-07-15_at_17.48.04_7.jpg?v=1752713083,TRUE,10
INDSTORE,7174678642821,Buzo Snoopy Rockstar Edicion Limitada,25.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsAppImage2025-07-15at17.48.03_1.jpg?v=1752712988,TRUE,10
INDSTORE,7230609588357,Mafalda Soundtrack,30.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsAppImage2026-01-02at14.05.01.jpg?v=1767731933,TRUE,10
INDSTORE,7230610079877,Mafalda Play the World,30.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsApp_Image_2026-01-02_at_14.04.59_2.jpg?v=1767732572,TRUE,10
INDSTORE,7230611161221,Mafalda Clasica Hoodie,30.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsApp_Image_2026-01-02_at_14.05.00_1.jpg?v=1767732869,TRUE,10
INDSTORE,7230821040261,Spider-man hoodie,30.00,"XS, S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsApp_Image_2026-01-07_at_8.07.23_AM_1.jpg?v=1767794804,TRUE,10
INDSTORE,7248153870469,Hoodie Premium Snoopy The Dough-Father,30.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsAppImage2026-03-02at7.43.36PM.jpg?v=1772499288,TRUE,10
INDSTORE,7249249304709,Garfield Smile Crewneck,30.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsApp_Image_2026-02-26_at_11.45.50_AM.jpg?v=1772908920,TRUE,10
INDSTORE,7249249632389,Hoodie Garfield Big Face,30.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsApp_Image_2026-02-26_at_11.53.17_AM.jpg?v=1772908920,TRUE,10
INDSTORE,7249250484357,Spider-Verse Zip-Up Red Black Edition,30.00,"S, M, L, XL, 2XL",https://cdn.shopify.com/s/files/1/0583/5522/0613/files/WhatsApp_Image_2026-02-26_at_12.30.33_PM.jpg?v=1772908920,TRUE,10
